audio_file,target_word,participant_id,native_language,condition,accent_condition,talker,pass_number,trial_number,word_number,take_number,spoken_form,practice_note
practice_audio/english/chocolate.wav,chocolate,practice_english,english,practice,english,Samantha,,1,1,,chocolate,Remote manifest demo sample
practice_audio/english/coffee.wav,coffee,practice_english,english,practice,english,Samantha,,2,2,,coffee,Remote manifest demo sample
practice_audio/english/pizza.wav,pizza,practice_english,english,practice,english,Samantha,,3,3,,pizza,Remote manifest demo sample
practice_audio/english/sofa.wav,sofa,practice_english,english,practice,english,Samantha,,4,4,,sofa,Remote manifest demo sample
practice_audio/japanese/chocolate.wav,chocolate,practice_japanese,japanese,practice,japanese,Kyoko,,1,1,,chocolate,Remote manifest demo sample
practice_audio/japanese/coffee.wav,coffee,practice_japanese,japanese,practice,japanese,Kyoko,,2,2,,coffee,Remote manifest demo sample
practice_audio/japanese/pizza.wav,pizza,practice_japanese,japanese,practice,japanese,Kyoko,,3,3,,pizza,Remote manifest demo sample
practice_audio/japanese/sofa.wav,sofa,practice_japanese,japanese,practice,japanese,Kyoko,,4,4,,sofa,Remote manifest demo sample
practice_audio/chinese/chocolate.wav,chocolate,practice_chinese,chinese,practice,chinese,Tingting,,1,1,,chocolate,Remote manifest demo sample
practice_audio/chinese/coffee.wav,coffee,practice_chinese,chinese,practice,chinese,Tingting,,2,2,,coffee,Remote manifest demo sample
practice_audio/chinese/pizza.wav,pizza,practice_chinese,chinese,practice,chinese,Tingting,,3,3,,pizza,Remote manifest demo sample
practice_audio/chinese/sofa.wav,sofa,practice_chinese,chinese,practice,chinese,Tingting,,4,4,,sofa,Remote manifest demo sample
